"","extr","Name","R.Time","Area","Height","Conc.","Curve","X1st","Constant","Sample_ID","SN","Concm"
"24",1,"N2O",7.331,27184212,1724155,1602.91938,"Default",5.896508e-05,0,"GA R2$ CC_INC, PL_INC (Day 35)",26,1602.91938
"25",1,"CH4",3.242,39450,4057,10.51835,"Default",0.0004181727,-5.978499,"GA R3$ CC_INC, PL_INC (Day 35)",27,10.51835
"26",1,"CO2",6.665,216025908,14146153,44489.35789,"Default",0.0002061328,-40.67114,"GA R3$ CC_INC, PL_INC (Day 35)",27,44489.35789
"27",1,"N2O",7.269,2089296,134781,123.1955,"Default",5.896508e-05,0,"GA R3$ CC_INC, PL_INC (Day 35)",27,123.1955
"28",1,"CH4",3.247,44968,4157,12.82599,"Default",0.0004181727,-5.978499,"GA R1$ Control (Day 35)",28,12.82599
"29",1,"CO2",6.721,17351580,1027790,3536.05892,"Default",0.0002061328,-40.67114,"GA R1$ Control (Day 35)",28,3536.05892
"30",1,"N2O",7.29,62045,4623,3.65847,"Default",5.896508e-05,0,"GA R1$ Control (Day 35)",28,3.65847
"31",1,"CH4",3.247,39750,3971,10.64394,"Default",0.0004181727,-5.978499,"GA R2$ Control (Day 35)",29,10.64394
"32",1,"CO2",6.721,14300672,851341,2907.16669,"Default",0.0002061328,-40.67114,"GA R2$ Control (Day 35)",29,2907.16669
"33",1,"N2O",7.296,39089,3736,2.30489,"Default",5.896508e-05,0,"GA R2$ Control (Day 35)",29,2.30489
"34",1,"CH4",3.249,41257,3875,11.27413,"Default",0.0004181727,-5.978499,"GA R3$ Control (Day 35)",30,11.27413
"35",1,"CO2",6.719,18148485,1095221,3700.32729,"Default",0.0002061328,-40.67114,"GA R3$ Control (Day 35)",30,3700.32729
"36",1,"N2O",7.301,37028,3326,2.18335,"Default",5.896508e-05,0,"GA R3$ Control (Day 35)",30,2.18335
"37",1,"CH4",3.246,43539,4074,12.22825,"Default",0.0004181727,-5.978499,"Air 1 (Day 35)",31,12.22825
"38",1,"CO2",6.72,4521193,270482,891.29518,"Default",0.0002061328,-40.67114,"Air 1 (Day 35)",31,891.29518
"39",1,"N2O",7.282,36377,3146,2.14497,"Default",5.896508e-05,0,"Air 1 (Day 35)",31,2.14497
"40",1,"CH4",3.25,44130,4038,12.47542,"Default",0.0004181727,-5.978499,"Air 2 (Day 35)",32,12.47542
"41",1,"CO2",6.721,5305282,317819,1052.92151,"Default",0.0002061328,-40.67114,"Air 2 (Day 35)",32,1052.92151
"42",1,"N2O",7.289,26909,2351,1.58671,"Default",5.896508e-05,0,"Air 2 (Day 35)",32,1.58671
"43",1,"CH4",3.252,40138,3871,10.80612,"Default",0.0004181727,-5.978499,"H2O 1 (Day 35)",33,10.80612
"44",1,"CO2",6.723,6072097,365745,1210.98733,"Default",0.0002061328,-40.67114,"H2O 1 (Day 35)",33,1210.98733
"45",1,"N2O",7.307,26798,1824,1.58013,"Default",5.896508e-05,0,"H2O 1 (Day 35)",33,1.58013
"46",1,"CH4",3.254,38109,3892,9.95766,"Default",0.0004181727,-5.978499,"H2O 2 (Day 35)",34,9.95766
"47",1,"CO2",6.719,5514028,335682,1095.95107,"Default",0.0002061328,-40.67114,"H2O 2 (Day 35)",34,1095.95107
"48",1,"N2O",7.286,29584,2196,1.74442,"Default",5.896508e-05,0,"H2O 2 (Day 35)",34,1.74442
"49",1,"CH4",3.25,39464,3973,10.52447,"Default",0.0004181727,-5.978499,"H2O 3 (Day 35)",35,10.52447
"50",1,"CO2",6.72,5542644,338050,1101.84977,"Default",0.0002061328,-40.67114,"H2O 3 (Day 35)",35,1101.84977
"51",1,"N2O",7.293,25896,1794,1.52696,"Default",5.896508e-05,0,"H2O 3 (Day 35)",35,1.52696
"52",2,"CH4",3.251,44301,4224,12.54678,"Default",0.0004181727,-5.978499,"NC R3$ CC_SF, PL_SF (Day 35)",9,12.54678
"53",2,"CO2",6.655,271836740,17808332,55993.80196,"Default",0.0002061328,-40.67114,"NC R3$ CC_SF, PL_SF (Day 35)",9,55993.80196
"54",2,"N2O",7.263,90633,6263,5.34417,"Default",5.896508e-05,0,"NC R3$ CC_SF, PL_SF (Day 35)",9,5.34417
"55",2,"CH4",3.249,48708,4341,14.38968,"Default",0.0004181727,-5.978499,"NC R1$ CC_INC, PL_INC (Day 35)",10,14.38968
"56",2,"CO2",6.657,258907518,16969271,53328.665,"Default",0.0002061328,-40.67114,"NC R1$ CC_INC, PL_INC (Day 35)",10,53328.665
"57",2,"N2O",7.27,4219169,270900,248.78368,"Default",5.896508e-05,0,"NC R1$ CC_INC, PL_INC (Day 35)",10,248.78368
"58",2,"CH4",3.246,41198,4267,11.24954,"Default",0.0004181727,-5.978499,"NC R2$ CC_INC, PL_INC (Day 35)",11,11.24954
"59",2,"CO2",6.66,249258209,16319686,51339.62569,"Default",0.0002061328,-40.67114,"NC R2$ CC_INC, PL_INC (Day 35)",11,51339.62569
"60",2,"N2O",7.275,6204524,397331,365.85031,"Default",5.896508e-05,0,"NC R2$ CC_INC, PL_INC (Day 35)",11,365.85031
"61",2,"CH4",3.25,47519,4225,13.8925,"Default",0.0004181727,-5.978499,"NC R3$ CC_INC, PL_INC (Day 35)",12,13.8925
"62",2,"CO2",6.67,196785848,12668916,40523.35013,"Default",0.0002061328,-40.67114,"NC R3$ CC_INC, PL_INC (Day 35)",12,40523.35013
"63",2,"N2O",7.333,28764492,1799972,1696.10074,"Default",5.896508e-05,0,"NC R3$ CC_INC, PL_INC (Day 35)",12,1696.10074
"64",2,"CH4",3.249,46160,4023,13.32432,"Default",0.0004181727,-5.978499,"NC R1$ Control (Day 35)",13,13.32432
"65",2,"CO2",6.723,10833284,632911,2192.42426,"Default",0.0002061328,-40.67114,"NC R1$ Control (Day 35)",13,2192.42426
"66",2,"N2O",7.276,73783,5615,4.35063,"Default",5.896508e-05,0,"NC R1$ Control (Day 35)",13,4.35063
"67",2,"CH4",3.253,47627,4134,13.93768,"Default",0.0004181727,-5.978499,"NC R2$ Control (Day 35)",14,13.93768
"68",2,"CO2",6.721,12290446,728172,2492.79307,"Default",0.0002061328,-40.67114,"NC R2$ Control (Day 35)",14,2492.79307
"69",2,"N2O",7.294,92986,6876,5.4829,"Default",5.896508e-05,0,"NC R2$ Control (Day 35)",14,5.4829
"70",2,"CH4",3.251,42420,4204,11.76031,"Default",0.0004181727,-5.978499,"NC R3$ Control (Day 35)",15,11.76031
"71",2,"CO2",6.722,17429337,1043170,3552.08717,"Default",0.0002061328,-40.67114,"NC R3$ Control (Day 35)",15,3552.08717
"72",2,"N2O",7.289,260615,17398,15.3672,"Default",5.896508e-05,0,"NC R3$ Control (Day 35)",15,15.3672
"73",2,"CH4",3.247,51658,4279,15.62352,"Default",0.0004181727,-5.978499,"GA R1$ CC_INC, PL_SF (Day 35)",16,15.62352
"74",2,"CO2",6.658,251580000,16523391,51818.22297,"Default",0.0002061328,-40.67114,"GA R1$ CC_INC, PL_SF (Day 35)",16,51818.22297
"75",2,"N2O",7.266,940914,60311,55.48106,"Default",5.896508e-05,0,"GA R1$ CC_INC, PL_SF (Day 35)",16,55.48106
"76",2,"CH4",3.248,43014,4167,12.00899,"Default",0.0004181727,-5.978499,"GA R2$ CC_INC, PL_SF (Day 35)",17,12.00899
"77",2,"CO2",6.658,256756407,16845863,52885.25033,"Default",0.0002061328,-40.67114,"GA R2$ CC_INC, PL_SF (Day 35)",17,52885.25033
"78",2,"N2O",7.265,66542,4610,3.92368,"Default",5.896508e-05,0,"GA R2$ CC_INC, PL_SF (Day 35)",17,3.92368
"79",2,"CH4",3.245,42345,4307,11.72912,"Default",0.0004181727,-5.978499,"GA R3$ CC_INC, PL_SF (Day 35)",18,11.72912
"80",2,"CO2",6.656,272196987,17786411,56068.0606,"Default",0.0002061328,-40.67114,"GA R3$ CC_INC, PL_SF (Day 35)",18,56068.0606
"81",2,"N2O",7.274,24969,4035,1.47227,"Default",5.896508e-05,0,"GA R3$ CC_INC, PL_SF (Day 35)",18,1.47227
"82",3,"CH4",3.243,43367,4189,12.15641,"Default",0.0004181727,-5.978499,"NC R2$ CC_SF, PL_INC (Day 35)",2,12.15641
"83",3,"CO2",6.676,159139085,10296369,32763.11683,"Default",0.0002061328,-40.67114,"NC R2$ CC_SF, PL_INC (Day 35)",2,32763.11683
"84",3,"N2O",7.41,78146600,3922538,4607.92088,"Default",5.896508e-05,0,"NC R2$ CC_SF, PL_INC (Day 35)",2,4607.92088
"85",3,"CH4",3.248,43658,4189,12.27804,"Default",0.0004181727,-5.978499,"NC R3$ CC_SF, PL_INC (Day 35)",3,12.27804
"86",3,"CO2",6.694,97389416,6110421,20034.48357,"Default",0.0002061328,-40.67114,"NC R3$ CC_SF, PL_INC (Day 35)",3,20034.48357
"87",3,"N2O",7.373,47977281,2843077,2828.98445,"Default",5.896508e-05,0,"NC R3$ CC_SF, PL_INC (Day 35)",3,2828.98445
"88",3,"CH4",3.244,43687,4274,12.29021,"Default",0.0004181727,-5.978499,"NC R1$ CC_INC, PL_SF (Day 35)",4,12.29021
"89",3,"CO2",6.68,150238551,9624351,30928.42461,"Default",0.0002061328,-40.67114,"NC R1$ CC_INC, PL_SF (Day 35)",4,30928.42461
"90",3,"N2O",7.326,24165679,1558737,1424.93134,"Default",5.896508e-05,0,"NC R1$ CC_INC, PL_SF (Day 35)",4,1424.93134
"91",3,"CH4",3.248,45545,4280,13.067,"Default",0.0004181727,-5.978499,"NC R2$ CC_INC, PL_SF (Day 35)",5,13.067
"92",3,"CO2",6.659,246721058,16194956,50816.63557,"Default",0.0002061328,-40.67114,"NC R2$ CC_INC, PL_SF (Day 35)",5,50816.63557
"93",3,"N2O",7.265,2001199,125656,118.0009,"Default",5.896508e-05,0,"NC R2$ CC_INC, PL_SF (Day 35)",5,118.0009
"94",3,"CH4",3.249,42969,4144,11.98991,"Default",0.0004181727,-5.978499,"NC R3$ CC_INC, PL_SF (Day 35)",6,11.98991
"95",3,"CO2",6.68,150035380,9591706,30886.54439,"Default",0.0002061328,-40.67114,"NC R3$ CC_INC, PL_SF (Day 35)",6,30886.54439
"96",3,"N2O",7.286,4735168,310080,279.2096,"Default",5.896508e-05,0,"NC R3$ CC_INC, PL_SF (Day 35)",6,279.2096
"97",3,"CH4",3.245,41672,4345,11.44773,"Default",0.0004181727,-5.978499,"NC R1$ CC_SF, PL_SF (Day 35)",7,11.44773
"98",3,"CO2",6.659,252029267,16550612,51910.83163,"Default",0.0002061328,-40.67114,"NC R1$ CC_SF, PL_SF (Day 35)",7,51910.83163
"99",3,"N2O",7.274,101902,7335,6.00864,"Default",5.896508e-05,0,"NC R1$ CC_SF, PL_SF (Day 35)",7,6.00864
"100",3,"CH4",3.245,46270,4114,13.37047,"Default",0.0004181727,-5.978499,"NC R2$ CC_SF, PL_SF (Day 35)",8,13.37047
"101",3,"CO2",6.659,246349077,16141206,50739.95802,"Default",0.0002061328,-40.67114,"NC R2$ CC_SF, PL_SF (Day 35)",8,50739.95802
"102",3,"N2O",7.279,52738,4044,3.10973,"Default",5.896508e-05,0,"NC R2$ CC_SF, PL_SF (Day 35)",8,3.10973
"103",4,"CH4",3.251,23592,2142,3.88687,"Default",0.0004181727,-5.978499,"NC R1$ CC_SF, PL_INC (Day 35)",1,14.2518566666667
"104",4,"CO2",6.715,18958915,1149948,3867.38337,"Default",0.0002061328,-40.67114,"NC R1$ CC_SF, PL_INC (Day 35)",1,14180.40569
"105",4,"N2O",7.299,8184531,540076,482.60155,"Default",5.896508e-05,0,"NC R1$ CC_SF, PL_INC (Day 35)",1,1769.53901666667
